Price,Close,High,Low,Open,Volume,RSI,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,SMA_20,EMA_20,OBV
2018-02-15,1.2467273473739624,1.2511996030807495,1.2450509071350098,1.2467117309570312,0.0,64.35809796961817,0.008118211283599353,-0.0027755851442798907,0.010893796427879243,1.217063783380593,1.2327670574188232,1.2484703314570533,2.5476466042351524,0.9445025260704368,1.235460388660431,1.230955593072191,0.0
2018-02-16,1.2503595352172852,1.2558081150054932,1.2430543899536133,1.250734806060791,0.0,66.34789584865584,0.008751565749458123,-0.0017137845427368965,0.01046535029219502,1.2185442249668028,1.2376237154006957,1.2567032058345886,3.0832457711455024,0.8337568123403724,1.2367953300476073,1.2328035875621999,0.0
2018-02-19,1.241187572479248,1.2437996864318848,1.2371032238006592,1.241187572479248,0.0,57.60269901078362,0.00841638414959589,-0.0016391729140793048,0.010055557063675195,1.2262517560624329,1.2408052444458009,1.2553587328291689,2.3458134866069567,0.5131352711932662,1.2375771939754485,1.2336020623162045,0.0
2018-02-20,1.2398641109466553,1.2409104108810425,1.2321947813034058,1.2399102449417114,0.0,56.446550651152556,0.007952288994401924,-0.0016826144554186167,0.00963490344982054,1.2321633160295657,1.2427029609680176,1.2532426059064694,1.696245244357003,0.36532515858265224,1.2382891297340393,1.234198447900057,0.0
2018-02-21,1.233532428741455,1.2347005605697632,1.2300727367401123,1.233547568321228,0.0,51.156453667575946,0.006992965845109778,-0.0021135500837686106,0.009106515928878388,1.2307206544078815,1.2423341989517211,1.2539477434955608,1.8696329141770636,0.121055820768565,1.2384144127368928,1.2341350175039996,0.0
2018-02-22,1.2281843423843384,1.2353304624557495,1.2261663675308228,1.2280335426330566,0.0,47.137979551006445,0.005735039499140893,-0.002697181143789997,0.00843222064293089,1.2236391213272293,1.2386255979537963,1.2536120745803634,2.419855790373562,0.15164408454258063,1.2378680646419524,1.2335682865402222,0.0
2018-02-23,1.2326656579971311,1.233500361442566,1.2280486822128296,1.2326048612594604,0.0,50.63705728544227,0.005041611960737047,-0.002712486945755075,0.007754098906492122,1.225455039934749,1.2350868225097655,1.244718605084782,1.559693197186606,0.37431378907396795,1.2375396370887757,1.2334823219170707,0.0
2018-02-26,1.228712558746338,1.2354830503463743,1.228244662284851,1.2288333177566528,0.0,47.64127610496879,0.004125527060662382,-0.0029028574766637926,0.007028384537326174,1.2241893944336093,1.2325918197631835,1.2409942450927578,1.3633751571040924,0.2691582570099304,1.2368349015712738,1.2330280587579534,0.0
2018-02-27,1.2315573692321775,1.2345678806304932,1.2223145961761477,1.231602907180786,0.0,49.93669246613037,0.0035877186214610113,-0.002752532732692131,0.0063402513541531424,1.2266751766915502,1.230930471420288,1.2351857661490258,0.6913948151479032,0.5736609156183491,1.2365070641040803,1.232887993088832,0.0
2018-02-28,1.2230321168899536,1.224289894104004,1.2189176082611084,1.2222100496292114,0.0,43.74712223331718,0.002445395940980921,-0.003115884330537777,0.005561280271518698,1.2221253703998112,1.2288304090499877,1.2355354477001643,1.09128787842421,0.06761679816107857,1.235610842704773,1.2319493382127482,0.0
2018-03-01,1.2191256284713743,1.2221801280975342,1.2157995700836182,1.2190959453582764,0.0,41.2255513778406,0.0012109173181429345,-0.0034802903627006113,0.004691207680843546,1.2166823135831395,1.2270186662673948,1.23735501895165,1.68479143283102,0.11819037927936359,1.2344738304615022,1.2307280325230936,0.0
2018-03-02,1.2270842790603638,1.2330456972122192,1.2252799272537231,1.227129340171814,0.0,47.823840967941194,0.0008648116940366268,-0.003061116789445535,0.003925928483482162,1.2171646257868318,1.2259023904800412,1.2346401551732507,1.4255237221273163,0.5676310602207588,1.2332780003547668,1.230381008383786,0.0
2018-03-05,1.2315422296524048,1.2348270416259766,1.2275512218475342,1.231845736503601,0.0,51.13315231935539,0.0009394109053522115,-0.0023892140625039605,0.003328624967856172,1.2167628623843607,1.2264683246612547,1.2361737869381486,1.5826682323124093,0.7613942976848049,1.2326203882694244,1.2304916008855593,0.0
2018-03-06,1.2336541414260864,1.2419891357421875,1.233121633529663,1.2337758541107178,0.0,52.6648548875552,0.0011556236379830498,-0.0017384010638984981,0.002894024701881548,1.2162067317743905,1.2268876791000367,1.2375686264256829,1.7411450954468801,0.8167538477510636,1.2324640035629273,1.2307927952227524,0.0
2018-03-07,1.2416653633117676,1.2440595626831057,1.2386049032211304,1.2419275045394895,0.0,58.03794953188007,0.001950923409266947,-0.0007544810340916809,0.002705404443358628,1.215736739574941,1.2306143283843993,1.2454919171938577,2.4179124956216356,0.8713987215570385,1.2326407968997954,1.2318282778978966,0.0
