Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2018-01-02,239.27392578125,239.3095436031779,238.05428027248777,238.44599480838133,86655700
2018-01-03,240.78744506835938,240.93880048192358,239.44315035230164,239.44315035230164,90070400
2018-01-04,241.80235290527344,242.29200987226258,240.84979989414282,241.43737195346006,80636400
2018-01-05,243.41366577148438,243.53828741133856,242.1049891265888,242.60353002288795,83524000
2018-01-08,243.85873413085938,244.01897355812713,243.02189200832595,243.31566429165022,57319200
2018-01-09,244.41075134277344,245.04282513741748,244.00121425356372,244.28610253255093,57254000
2018-01-10,244.0369110107422,244.30400404684565,242.96862037167952,243.64519629255074,69574300
2018-01-11,245.81736755371094,245.81736755371094,244.4285710158833,244.5977217503509,62361500
2018-01-12,247.41981506347656,247.58893860978435,245.78172107133489,246.08443184289493,90816100
2018-01-16,246.57408142089844,249.35167439727704,245.87077192737843,248.6928939824405,106555100
2018-01-17,248.92434692382812,249.31606154816185,246.5740863462698,247.5177550771345,113258800
2018-01-18,248.5060272216797,249.23601635952804,248.00745895830352,248.80871094585135,100728000
2018-01-19,249.63656616210938,249.63656616210938,248.50595137556033,249.09349614004213,140920100
2018-01-22,251.66639709472656,251.66639709472656,249.369522073197,249.4229624125236,91322400
2018-01-23,252.20057678222656,252.4943492462935,251.38152948043933,251.71091978417996,97084700
2018-01-24,252.10260009765625,253.4558061360012,250.90966073173735,252.85041161800328,134816100
2018-01-25,252.20944213867188,253.07299129959222,251.40821740043992,252.9750762083241,84587300
2018-01-26,255.12948608398438,255.17401517346215,252.79702031836806,253.05520209829925,107743100
2018-01-29,253.43800354003906,254.99595112190576,253.277764023475,254.55082324137243,90118300
2018-01-30,250.83848571777344,253.49143064374636,250.3577399732104,251.58629733795414,131796400
2018-01-31,250.9630584716797,252.20941092897138,249.87694550851563,251.7019858642338,108364800
2018-02-01,250.67822265625,251.99581105477506,249.8769978493361,250.2242106611214,90102500
2018-02-02,245.2209014892578,249.47632192066345,245.18528366018458,249.34276185374955,173174800
2018-02-05,234.96514892578125,245.57700740328852,234.41319481262303,243.44039944300584,294681800
2018-02-06,239.59454345703125,240.1019957742592,230.30918215180586,231.41309062988736,355026800
2018-02-07,238.29473876953125,242.4700127201443,238.21459185381423,239.03363899555023,167376100
2018-02-08,229.3566131591797,238.73991718710803,229.3209953189173,238.59747299451033,246449500
2018-02-09,232.80189514160156,234.68032186651462,225.1634986345731,232.17870520500833,283565300
2018-02-12,236.2205047607422,237.70724411516002,232.94436946494642,234.87620961507042,143736000
2018-02-13,236.8079833984375,237.35993750903168,234.41319372367704,235.00076566450298,81223600
2018-02-14,240.0039825439453,240.3689905676129,235.29452323269746,235.30343448180525,120735700
2018-02-15,243.06651306152344,243.0754243124406,239.27401507973383,241.7667473446715,111200300
2018-02-16,243.13772583007812,245.10521052593958,242.38991428800867,242.4344433749279,160420100
2018-02-20,241.61537170410156,243.63626936494578,240.8141470735902,242.1762370959932,86369700
2018-02-21,240.41354370117188,244.5710498224253,240.31562861389318,242.06052219893047,98883700
2018-02-22,240.7251739501953,243.08434649493424,240.04859798564607,241.3483639062179,110511300
2018-02-23,244.5621337890625,244.56213378906253,241.48185669879803,241.96260238012871,92766400
2018-02-26,247.40199279785156,247.49993502837538,245.0517324550154,245.64818841310694,86491400
2018-02-27,244.31285095214844,248.31011728608,244.2505265363634,247.5889852162532,99099200
2018-02-28,241.83795166015625,245.87972008162694,241.51747265406172,245.42568098787888,121907800
2018-03-01,238.32144165039062,243.19114100527594,236.80799622069966,241.6242824115672,176855100
2018-03-02,239.5499725341797,240.11974917720585,235.7575020317637,236.6299351597847,139083200
2018-03-05,242.31869506835938,242.94188491008123,238.24130885047052,238.3481623532821,97307400
2018-03-06,242.93292236328125,243.3869613569052,241.41947716349569,243.306814454608,79213200
2018-03-07,242.8439178466797,243.20001464766113,240.54707038717174,240.7429277029782,87063500
2018-03-08,244.01914978027344,244.14377147977874,242.52352637548444,243.52949272987357,66901200
2018-03-09,248.2655792236328,248.26557922363278,245.12297798669232,245.44348413596214,113625300
2018-03-12,247.9539794921875,249.19144781484923,247.56226485540572,248.5593739471333,71924800
2018-03-13,246.35147094726562,249.63651548770133,245.73719255883043,249.12906339839606,91968900
2018-03-14,245.08734130859375,247.50883748402978,244.52650313527727,247.32189142625762,105895100
2018-03-15,244.82032775878906,246.2536264549941,244.31287546809764,245.60375715456905,83433000
2018-03-16,245.08578491210938,246.1494343264616,245.03215782207974,245.35392036225767,100343700
2018-03-19,241.76974487304688,245.2645898653579,240.09830319786872,244.32608829416887,109208400
2018-03-20,242.1808319091797,242.82438417620182,241.49257222192065,242.1718849696814,59757300
2018-03-21,241.7161102294922,244.25455968573996,241.50160182614457,242.13620737089053,78709600
2018-03-22,235.6739044189453,240.32175940908556,235.3967946853011,239.4636984885968,148785900
2018-03-23,230.65054321289062,236.45146118503908,230.45390146337277,236.1207517147721,183534800
2018-03-26,236.9609375,237.246966845342,231.86617276273626,234.29736764362406,141956100
2018-03-27,232.92979431152344,238.44465546466338,231.3566603779407,237.9083846029933,129941400
2018-03-28,232.24151611328125,234.75317840961722,231.12423977820026,233.06384349789272,146452300
2018-03-29,235.2090301513672,237.09500696191495,232.25048432724498,233.3945743080784,111601600
2018-04-02,230.1321563720703,235.191187877331,227.6294541656216,234.67275628147306,186286300
2018-04-03,233.08177185058594,233.56444299284783,229.56906066899788,231.38351682678925,119956900
2018-04-04,235.57554626464844,236.29059241383413,229.3545574794941,229.48862522280865,123715300
2018-04-05,237.43472290039062,238.32854427445815,236.25487214007816,237.35425497273255,82652600
2018-04-06,232.1432647705078,236.9609473029195,230.60589107226892,235.4504144293478,179521200
2018-04-09,233.28732299804688,236.7195929826783,232.33987474966065,233.6180324632232,105442900
2018-04-10,236.99673461914062,237.79224874434644,235.0571574902528,236.2101674365033,103529000
2018-04-11,235.75433349609375,237.4347220375967,235.42362395325267,235.49511766092232,91140200
2018-04-12,237.69383239746094,238.6502274961401,236.91621242503646,237.0949875512912,68890500
2018-04-13,236.99673461914062,239.13298082095173,235.97779242509785,239.01677967661703,85079200
2018-04-16,238.9452362060547,239.7228836502115,237.81903991621982,238.65028717895208,63405300
2018-04-17,241.5015411376953,242.109332979287,240.2144364865265,240.73284075676477,64682000
2018-04-18,241.6803741455078,242.49372759096926,241.21556957408575,241.9485096465101,57303900
2018-04-19,240.33956909179688,241.2244432536205,239.2937864009783,241.01885458044958,77655900
2018-04-20,238.30160522460938,240.49147759936517,237.40778421895433,240.26802234795142,99953100
2018-04-23,238.265869140625,239.44571940035226,237.17540643583203,238.8826078092437,65558000
2018-04-24,235.0570831298828,239.52618863809772,233.53757634618762,239.30273336268698,112885500
2018-04-25,235.63807678222656,236.08498736223996,233.15325504844233,234.99452445591697,103840900
2018-04-26,238.03350830078125,238.8737023640552,236.22799939739295,236.67490997244263,67731900
2018-04-27,238.25694274902344,238.95412209403148,237.30949459496776,238.65022620284893,57053600
2018-04-30,236.4246826171875,239.44580299887576,236.35316163736894,238.8826912111661,82182300
2018-05-01,236.84469604492188,236.95195019949514,234.27940688753608,235.8525405606155,74203400
2018-05-02,235.25375366210938,237.47041280809466,234.86047014706193,236.64811256918355,86368900
2018-05-03,234.7353057861328,235.39672470767096,231.54435773765962,234.4135432655759,136311500
2018-05-04,237.77432250976562,238.46258233956678,233.4214173243,233.7521268271737,91222100
2018-05-07,238.5787811279297,239.56196268555576,237.8547608170855,238.55196758139917,55304900
2018-05-08,238.5787811279297,238.94522383809363,236.99670005084857,238.20336419924232,67499200
2018-05-09,240.88478088378906,241.2154903187864,238.73066880929426,239.25801997283796,59666100
2018-05-10,243.13722229003906,243.4679590323617,241.52835511183915,241.63560928675153,72063900
2018-05-11,243.87913513183594,244.1472705977064,242.74396467937757,243.26239628307383,59871500
2018-05-14,243.99526977539062,244.9784510671908,243.44107783483173,244.31703224676102,54790600
2018-05-15,242.31494140625,242.77077168595017,241.35854614164302,242.75290508112678,87036100
2018-05-16,243.33392333984375,243.7987279140853,242.3239008178358,242.35074164536243,53942600
2018-05-17,243.12832641601562,244.2187894297504,242.3417593533532,243.06575238210846,56536400
2018-05-18,242.52047729492188,243.14616300222673,242.1629542952861,242.77969306249176,64368000
2018-05-21,244.34388732910156,244.88913242351788,243.6288413085388,244.0221248030255,58025900
2018-05-22,243.66455078125,245.13043044105353,243.33384134702115,244.87121469101422,52966400
2018-05-23,244.33494567871094,244.36178650038894,242.21659383774167,242.37750238152066,64694200
2018-05-24,243.83441162109375,244.20982852581258,242.02890262303782,243.93274613693416,76043800
2018-05-25,243.25340270996094,243.88800804237349,242.74391814521556,243.25340270996094,56374800
2018-05-29,240.45578002929688,242.37751751602005,239.32958381606886,241.60881706587887,115908600
2018-05-30,243.66455078125,244.11146131988457,241.70710771710483,241.77860140129437,69678400
2018-05-31,242.17193603515625,243.55734808679773,241.56414412071095,243.2534521295751,93519900
2018-06-01,244.5495147705078,244.8534107412683,243.41434425447082,243.48586523421537,71258400
2018-06-04,245.71141052246094,245.97062627443785,245.13937921290528,245.38070108576014,45385200
2018-06-05,245.8902587890625,246.2745954229391,245.0679311452387,245.84555135521413,51135000
2018-06-06,247.94598388671875,248.0532380613665,245.88125919297858,246.50694491476645,62732200
2018-06-07,247.91917419433594,248.73255473439278,246.99853947796524,248.4376057495296,72969400
2018-06-08,248.65206909179688,248.70569617024637,247.28452403682957,247.45435221100382,72139700
2018-06-11,248.98280334472656,249.70679625328708,248.75934806980652,248.87554917712578,58892500
2018-06-12,249.3046112060547,249.67105387951588,248.6521119361526,249.4029184410669,72329000
2018-06-13,248.50909423828125,249.80514582187251,248.30350555314575,249.5459300497029,79070600
2018-06-14,249.134765625,249.67103646449203,248.53589348456015,249.38503444251472,77097600
2018-06-15,248.8169403076172,249.1581218851347,247.21879560219915,248.34108900206408,120041600
2018-06-18,248.30516052246094,248.43087053136563,246.85965981849944,247.3444708249422,52917600
2018-06-19,247.3534698486328,247.57792853270598,245.58473432214657,246.0067177441938,97531500
2018-06-20,247.775390625,248.44876650696816,247.43420912751188,248.04473001789336,53785500
2018-06-21,246.22222900390625,247.78448032871412,245.7194436625129,247.76650609525615,71061400
2018-06-22,246.67112731933594,247.61387031116465,246.446668616483,247.49714740172206,54898500
2018-06-25,243.31320190429688,245.66552441697775,241.60732146683475,245.50392074810816,137854200
2018-06-26,243.85186767578125,244.71378116625579,243.1246238869846,243.88778872947398,68547400
2018-06-27,241.83181762695312,245.89002120616536,241.67917364953217,244.44452027763933,105110700
