Price,Close,High,Low,Open,Volume,RSI,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,SMA_20,EMA_20,OBV,Target_1d,Target_5d
2018-02-03,9174.91015625,9430.75,8251.6298828125,8852.1201171875,7263790080.0,32.23944393459186,-1510.351215344479,-57.720049495711464,-1452.6311658487675,8387.273257418117,9500.719921875,10614.16658633188,23.439206157276963,0.3536931421928849,11084.87509765625,11286.457835304744,39344791552.0,0,0
2018-02-04,8277.009765625,9334.8701171875,8031.22021484375,9175.7001953125,7073549824.0,28.425279059968545,-1568.8077460723052,-92.9412641788299,-1475.866481893475,7866.419251305611,9134.8619140625,10403.30457681939,27.771468790441336,0.1618482752018896,10807.735595703123,10999.843733430484,32271241728.0,0,1
2018-02-05,6955.27001953125,8364.83984375,6756.68017578125,8270.5400390625,9285289984.0,23.93609256033539,-1702.1667997944933,-181.04025432081423,-1521.126545473679,6820.668988514175,8481.69599609375,10142.723003673324,39.167331824780355,0.0405174119393801,10580.974096679687,10614.646236868652,22985951744.0,1,1
2018-02-06,7754.0,7850.7001953125,6048.259765625,7051.75,13999800320.0,31.025207729922172,-1723.5361249263988,-161.9276635621759,-1561.6084613642229,6622.956209845929,8198.38798828125,9773.819766716571,38.43272069307377,0.3589631127275453,10409.244116210935,10342.203738119257,36985752064.0,0,1
2018-02-07,7621.2998046875,8509.1103515625,7236.7900390625,7755.490234375,9169280000.0,30.516343233912146,-1731.2228069216053,-135.6914764459059,-1595.5313304756994,6475.126499940721,7956.49794921875,9437.86939849678,37.23677071829033,0.3868622232814684,10216.564086914062,10083.070030173376,27816472064.0,1,1
2018-02-08,8265.58984375,8558.76953125,7637.85986328125,7637.85986328125,9346750464.0,36.00455725680456,-1666.119744890966,-56.47073153221322,-1609.6490133587529,6799.456561183645,7774.63388671875,8749.811212253853,25.086128549435102,0.7517265035678773,10049.473559570311,9909.976679085436,37163222528.0,1,1
2018-02-09,8736.98046875,8736.98046875,7884.7099609375,8271.83984375,6784820224.0,39.753951817176,-1558.5221422186314,40.9014969120974,-1599.4236391307288,6659.937236464499,7866.62802734375,9073.318818223,30.678730116255487,0.860636066830373,9841.362573242188,9798.262754291583,43948042752.0,0,1
2018-02-10,8621.900390625,9122.5498046875,8295.4697265625,8720.080078125,7780960256.0,39.15089575119943,-1465.6412672435144,107.02589750977154,-1572.667164753286,7303.534603089582,8199.9541015625,9096.373600035418,21.864012587634015,0.7353509098035574,9692.452612304687,9686.228243466196,36167082496.0,0,1
2018-02-11,8129.97021484375,8616.1298828125,7931.10009765625,8616.1298828125,6122189824.0,36.595308049177234,-1415.4111795932113,125.80478812805995,-1541.2159677212712,7484.092212368188,8275.14814453125,9066.20407669431,19.118834330134423,0.4082378857266611,9552.381103515623,9538.0131931212,30044892672.0,1,1
2018-02-12,8926.5703125,8985.919921875,8141.43017578125,8141.43017578125,6256439808.0,43.07525908553188,-1296.3806338479644,195.86826709864545,-1492.24890094661,7944.0544068139825,8536.20224609375,9128.350085373517,13.873800601449895,0.829620443165897,9455.289599609376,9479.780537823945,36301332480.0,0,1
